,date,client,asset,quantity,currency,price_local,rate_to_usd,price_usd,value_local,value_usd
984,2024-01-01,Client_2,Asset_11,619.0,AUD,116.78,0.666352,77.81658656,72286.82,48168.46708064
985,2024-01-01,Client_8,Asset_11,799.0,AUD,116.78,0.666352,77.81658656,93307.22,62175.45266144
986,2024-01-01,Client_10,Asset_11,693.0,AUD,116.78,0.666352,77.81658656,80928.54,53926.894486080004
14345,2024-01-01,Client_2,Asset_36,925.0,AUD,59.23,0.666352,39.46802896,54787.75,36507.926788
14346,2024-01-01,Client_4,Asset_36,940.0,AUD,59.23,0.666352,39.46802896,55676.2,37099.9472224
14347,2024-01-01,Client_5,Asset_36,68.0,AUD,59.23,0.666352,39.46802896,4027.64,2683.8259692799998
14348,2024-01-01,Client_10,Asset_36,214.0,AUD,59.23,0.666352,39.46802896,12675.22,8446.15819744
15772,2024-01-01,Client_1,Asset_39,334.0,AUD,30.58,0.666352,20.37704416,10213.72,6805.93274944
15773,2024-01-01,Client_3,Asset_39,808.0,AUD,30.58,0.666352,20.37704416,24708.64,16464.65168128
15774,2024-01-01,Client_4,Asset_39,30.0,AUD,30.58,0.666352,20.37704416,917.4,611.3113248
16230,2024-01-01,Client_1,Asset_4,296.0,AUD,59.35,0.666352,39.547991200000006,17567.600000000002,11706.205395200002
16231,2024-01-01,Client_3,Asset_4,671.0,AUD,59.35,0.666352,39.547991200000006,39823.85,26536.702095200002
16232,2024-01-01,Client_4,Asset_4,554.0,AUD,59.35,0.666352,39.547991200000006,32879.9,21909.587124800004
16233,2024-01-01,Client_7,Asset_4,841.0,AUD,59.35,0.666352,39.547991200000006,49913.35,33259.8605992
16234,2024-01-01,Client_10,Asset_4,636.0,AUD,59.35,0.666352,39.547991200000006,37746.6,25152.522403200004
22175,2024-01-01,Client_1,Asset_50,474.0,AUD,87.6,0.666352,58.3724352,41522.399999999994,27668.5342848
22176,2024-01-01,Client_3,Asset_50,399.0,AUD,87.6,0.666352,58.3724352,34952.399999999994,23290.6016448
22177,2024-01-01,Client_9,Asset_50,874.0,AUD,87.6,0.666352,58.3724352,76562.4,51017.5083648
987,2024-01-02,Client_1,Asset_11,439.0,AUD,115.23,0.672395,77.48007584999999,50585.97,34013.75329815
988,2024-01-02,Client_4,Asset_11,280.0,AUD,115.23,0.672395,77.48007584999999,32264.4,21694.421238
989,2024-01-02,Client_6,Asset_11,331.0,AUD,115.23,0.672395,77.48007584999999,38141.130000000005,25645.905106349997
990,2024-01-02,Client_7,Asset_11,482.0,AUD,115.23,0.672395,77.48007584999999,55540.86,37345.3965597
991,2024-01-02,Client_10,Asset_11,926.0,AUD,115.23,0.672395,77.48007584999999,106702.98000000001,71746.55023709999
14349,2024-01-02,Client_1,Asset_36,876.0,AUD,60.44,0.672395,40.639553799999995,52945.439999999995,35600.249128799995
14350,2024-01-02,Client_6,Asset_36,801.0,AUD,60.44,0.672395,40.639553799999995,48412.439999999995,32552.282593799995
14351,2024-01-02,Client_7,Asset_36,835.0,AUD,60.44,0.672395,40.639553799999995,50467.4,33934.02742299999
14352,2024-01-02,Client_8,Asset_36,413.0,AUD,60.44,0.672395,40.639553799999995,24961.719999999998,16784.135719399997
14353,2024-01-02,Client_10,Asset_36,735.0,AUD,60.44,0.672395,40.639553799999995,44423.4,29870.072042999996
15775,2024-01-02,Client_1,Asset_39,320.0,AUD,30.58,0.672395,20.561839099999997,9785.599999999999,6579.788511999999
15776,2024-01-02,Client_4,Asset_39,770.0,AUD,30.58,0.672395,20.561839099999997,23546.6,15832.616106999998
16235,2024-01-02,Client_1,Asset_4,667.0,AUD,57.71,0.672395,38.80391545,38492.57,25882.211605149998
16236,2024-01-02,Client_2,Asset_4,264.0,AUD,57.71,0.672395,38.80391545,15235.44,10244.2336788
16237,2024-01-02,Client_3,Asset_4,209.0,AUD,57.71,0.672395,38.80391545,12061.39,8110.01832905
16238,2024-01-02,Client_4,Asset_4,493.0,AUD,57.71,0.672395,38.80391545,28451.03,19130.33031685
16239,2024-01-02,Client_5,Asset_4,864.0,AUD,57.71,0.672395,38.80391545,49861.44,33526.5829488
