date,client,asset,currency,quantity,misc_col
2024-01-01,Client_1,Asset_17,CAD,356.0,
2024-01-01,Client_1,Asset_13,USD,387.0,
2024-01-01,Client_1,Asset_18,USD,635.0,
2024-01-01,client_1 ,ASSET_26,USD,468.0,
2024-01-01,Client_1,Asset_10,GBP,180.0,
2024-01-01,Client_1,Asset_44,USD ,266.0,
2024-01-01,Client_1,Asset_49,USD,22.0,
2024-01-01,Client_1,Asset_14,USD,481.0,
2024-01-01,Client_1,Asset_2,USD,618.0,
01/01/2024,Client_1,Asset_30,USD,112.0,
2024-01-01,Client_1,Asset_20,USD,148.0,
2024-01-01,Client_1,Asset_39,AUD,334.0,
2024-01-01,Client_1,Asset_4,AUD,296.0,
2024-01-01,Client_1,asset_8 ,CAD,690.0,
2024-01-01,Client_1,Asset_42,GBP,748.0,
2024-01-01,Client_1,Asset_25,USD,80.0,
2024-01-01,Client_1,Asset_22,CHF,640.0,
2024-01-01,Client_1,Asset_38,USD,804.0,
2024-01-01,Client_1,Asset_50,aud ,474.0,
2024-01-01,Client_1,asset_24,USD,680.0,N/A
01/01/2024,Client_1,Asset_1,EUR,419.0,
2024-01-02,Client_1,Asset_13,USD,100.0,
2024-01-02,Client_1,Asset_3,EUR,566.0,
2024-01-02,Client_1,Asset_35,USD,702.0,
2024-01-02,CLIENT_1 ,Asset_4,AUD,667.0,
2024-01-02,Client_1,Asset_5,USD,868.0,
2024-01-02,Client_1,Asset_20,USD,614.0,
2024-01-02,Client_1,Asset_49,USD,882.0,
2024-01-02,Client_1,Asset_39,AUD,320.0,
2024-01-02,Client_1,Asset_34,USD,723.0,
20240102,Client_1,Asset_38,USD,685.0,
2024-01-02,Client_1,Asset_11,AUD ,439.0,
2024-01-02,Client_1,asset_2 ,USD,0.0,
2024-01-02,Client_1,Asset_45,USD,699.0,
2024-01-02,Client_1,Asset_21,EUR,892.0,
2024-01-02,Client_1,Asset_7,JPY,735.0,
2024-01-02,Client_1,Asset_6,USD,673.0,
2024-01-02,Client_1,Asset_30,USD,215.0,
2024-01-02,Client_1,Asset_32,GBP,441.0,
2024-01-02,Client_1,Asset_12,USD,240.0,
20240102,Client_1,Asset_31,GBP,854.0,
2024-01-02,Client_1,Asset_36,AUD,876.0,
2024-01-02,Client_1,Asset_29,CAD,983.0,
2024-01-03,Client_1,Asset_23,CAD,172.0,
20240103,Client_1,Asset_8,CAD,720.0,
2024-01-03,Client_1,Asset_32,GBP,211.0,
2024-01-03,Client_1,Asset_22,CHF,971.0,
2024-01-03,Client_1,Asset_12,USD,990.0,
2024-01-03,Client_1,Asset_20,USD ,252.0,
2024-01-03,Client_1,Asset_38,usd,868.0,
2024-01-03,Client_1,Asset_4,AUD,-42.0,
2024-01-03,Client_1,Asset_14,USD,715.0,
2024-01-03,Client_1,Asset_41,JPY,787.0,
2024-01-03,Client_1,Asset_49,USD,14.0,
2024-01-03,Client_1,Asset_6,usd ,399.0,
2024-01-03,Client_1,Asset_50,AUD,,
2024-01-03,Client_1,Asset_2,USD,172.0,
2024-01-03,Client_1,Asset_16,SEK,675.0,
2024-01-03,Client_1,Asset_40,GBP,548.0,
