date,asset,currency,price,notes
2024-01-01,Asset_1,EUR,258.87,
2024-01-02,Asset_1,EUR,258.32,
20240103,Asset_1,EUR,257.97,
2024-01-04,Asset_1,EUR,259.8,
2024-01-05,Asset_1,EUR,252.32,
2024-01-08,Asset_1,EUR,246.92,
2024-01-09,asset_1 ,EUR,246.38,
2024-01-10,Asset_1,EUR,237.3,
2024-01-11,Asset_1,EUR,243.46,
2024-01-12,Asset_1,EUR,249.76,
2024-01-15,Asset_1,EUR,254.34,
2024-01-16,ASSET_1 ,EUR,257.02,
2024-01-17,ASSET_1 ,EUR,249.53,
2024-01-18,Asset_1,EUR,254.07,
2024-01-19,Asset_1,EUR,251.27,
2024-01-22,Asset_1,EUR,260.32,
01/23/2024,Asset_1,EUR,257.23,
2024-01-24,Asset_1,EUR,256.17,
2024-01-25,Asset_1,EUR,246.75,
20240126,Asset_1,EUR,246.87,
2024-01-29,asset_1,EUR,249.27,
2024-01-30,Asset_1,EUR,256.42,
2024-01-31,Asset_1,EUR,262.22,
2024-02-01,Asset_1,EUR,265.13,
2024-02-02,Asset_1,EUR,267.8,
2024-02-05,Asset_1,EUR,267.8,
2024-02-06,Asset_1,eur ,274.64,
2024-02-07,Asset_1,EUR,273.02,
2024-02-08,Asset_1,EUR,274.25,
09-02-2024,Asset_1,EUR,274.03,
2024-02-12,Asset_1,EUR,262.9,
2024-02-13,Asset_1,EUR,262.47,
2024-02-14,Asset_1,EUR,265.27,
2024-02-15,Asset_1,EUR,253.77,
16-02-2024,Asset_1,EUR,244.19,
2024-02-19,Asset_1,EUR,240.34,
2024-02-20,Asset_1,EUR,241.61,
2024-02-21,Asset_1,EUR,244.66,
2024-02-22,Asset_1,EUR,245.58,
2024-02-23,asset_1 ,EUR,253.8,
2024-02-26,ASSET_1,EUR,251.61,
02/27/2024,Asset_1,EUR,243.58,
2024-02-28,Asset_1,EUR,247.77,
2024-02-29,ASSET_1,EUR,247.51,
2024-03-01,Asset_1,eur,240.41,
2024-03-04,Asset_1,EUR,232.79,
2024-03-05,Asset_1,EUR,224.2,
06-03-2024,Asset_1,EUR,223.45,
07-03-2024,Asset_1,EUR,220.89,
2024-03-08,Asset_1,EUR,227.97,
2024-03-11,Asset_1,EUR,231.11,
2024-03-12,Asset_1,EUR,228.52,
13-03-2024,asset_1 ,EUR,229.65,
2024-03-14,Asset_1,EUR,229.88,
2024-03-15,Asset_1,EUR,228.61,
2024-03-18,Asset_1,EUR,232.56,
