,date,client,asset,currency,price_local,rate_to_usd,price_usd,quantity,value_local,value_usd
0,2024-01-01,Client_1,Asset_17,CAD,99.05,0.73088,72.393664,356.0,35261.799999999996,25772.144384
1,2024-01-01,Client_7,Asset_25,USD,210.8,1.0,210.8,872.0,183817.6,183817.6
2,2024-01-01,Client_7,Asset_12,USD,83.76,1.0,83.76,321.0,26886.960000000003,26886.960000000003
3,2024-01-01,Client_7,Asset_24,USD,226.34,1.0,226.34,168.0,38025.12,38025.12
4,2024-01-01,Client_7,Asset_31,GBP,94.24,1.228867,115.80842607999999,43.0,4052.3199999999997,4979.762321439999
5,2024-01-01,Client_7,Asset_16,SEK,56.17,0.095007,5.3365431899999995,876.0,49204.92,4674.81183444
6,2024-01-01,Client_7,Asset_21,EUR,97.97,1.092848,107.06631856,434.0,42518.979999999996,46466.78225504
7,2024-01-01,Client_7,Asset_35,USD,137.9,1.0,137.9,346.0,47713.4,47713.4
8,2024-01-01,Client_7,Asset_5,USD,94.81,1.0,94.81,862.0,81726.22,81726.22
9,2024-01-01,Client_7,Asset_41,JPY,3495.99,0.006609,23.104997909999998,949.0,3317694.51,21926.64301659
10,2024-01-01,Client_8,Asset_28,USD,293.85,1.0,293.85,303.0,89036.55,89036.55
11,2024-01-01,Client_8,Asset_23,CAD,99.55,0.73088,72.759104,523.0,52064.65,38053.01139199999
12,2024-01-01,Client_8,Asset_48,USD,158.18,1.0,158.18,780.0,123380.40000000001,123380.40000000001
13,2024-01-01,Client_8,Asset_40,GBP,85.33,1.228867,104.85922111,864.0,73725.12,90598.36703904
14,2024-01-01,Client_8,Asset_41,JPY,3495.99,0.006609,23.104997909999998,113.0,395046.87,2610.86476383
15,2024-01-01,Client_8,Asset_17,CAD,99.05,0.73088,72.393664,333.0,32983.65,24107.090112
16,2024-01-01,Client_8,Asset_10,GBP,138.48,1.228867,170.17350215999997,61.0,8447.279999999999,10380.583631759999
17,2024-01-01,Client_8,Asset_8,CAD,94.58,0.73088,69.1266304,248.0,23455.84,17143.4043392
18,2024-01-01,Client_7,Asset_15,USD,249.63,1.0,249.63,934.0,233154.41999999998,233154.41999999998
19,2024-01-01,Client_7,Asset_3,EUR,163.27,1.092848,178.42929296000003,31.0,5061.37,5531.308081760001
20,2024-01-01,Client_7,Asset_4,AUD,59.35,0.666352,39.547991200000006,841.0,49913.35,33259.8605992
21,2024-01-01,Client_7,Asset_49,USD,118.17,1.0,118.17,751.0,88745.67,88745.67
22,2024-01-01,Client_6,Asset_41,JPY,3495.99,0.006609,23.104997909999998,421.0,1471811.7899999998,9727.20412011
23,2024-01-01,Client_6,Asset_25,USD,210.8,1.0,210.8,383.0,80736.40000000001,80736.40000000001
24,2024-01-01,Client_6,Asset_27,USD,250.38,1.0,250.38,292.0,73110.95999999999,73110.95999999999
25,2024-01-01,Client_6,Asset_20,USD,229.49,1.0,229.49,996.0,228572.04,228572.04
26,2024-01-01,Client_6,Asset_33,USD,191.52,1.0,191.52,748.0,143256.96000000002,143256.96000000002
27,2024-01-01,Client_6,Asset_31,GBP,94.24,1.228867,115.80842607999999,467.0,44010.079999999994,54082.534979359996
28,2024-01-01,Client_6,Asset_42,GBP,79.87,1.228867,98.14960729,243.0,19408.41,23850.35457147
29,2024-01-01,Client_6,Asset_49,USD,118.17,1.0,118.17,926.0,109425.42,109425.42
30,2024-01-01,Client_6,Asset_46,EUR,181.0,1.092848,197.805488,975.0,176475.0,192860.3508
31,2024-01-01,Client_6,Asset_6,USD,141.51,1.0,141.51,112.0,15849.119999999999,15849.119999999999
32,2024-01-01,Client_6,Asset_16,SEK,56.17,0.095007,5.3365431899999995,208.0,11683.36,1110.0009835199999
